date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,1578.0,1594.7,1540.1,1567.05,60754
2025-04-02 00:00:00+05:30,1578.8,1592.0,1532.95,1582.95,32678
2025-04-03 00:00:00+05:30,1573.95,1630.0,1566.6,1624.25,41691
2025-04-04 00:00:00+05:30,1605.0,1623.25,1535.1,1555.2,77627
2025-04-07 00:00:00+05:30,1262.15,1535.95,1262.0,1469.6,191435
2025-04-08 00:00:00+05:30,1545.0,1574.7,1510.65,1562.45,94815
2025-04-09 00:00:00+05:30,1562.45,1573.35,1488.35,1498.95,50895
2025-04-11 00:00:00+05:30,1552.0,1570.0,1520.6,1550.55,53331
2025-04-15 00:00:00+05:30,1600.0,1629.6,1560.0,1613.6,71664
2025-04-16 00:00:00+05:30,1600.1,1614.9,1576.2,1607.6,40637
2025-04-17 00:00:00+05:30,1623.5,1742.3,1589.7,1667.4,230296
2025-04-21 00:00:00+05:30,1667.4,1685.0,1600.0,1612.0,85359
2025-04-22 00:00:00+05:30,1619.9,1649.0,1585.0,1622.2,87972
2025-04-23 00:00:00+05:30,1640.0,1657.9,1600.0,1623.7,59031
2025-04-24 00:00:00+05:30,1624.9,1676.3,1610.0,1627.3,57413
2025-04-25 00:00:00+05:30,1634.0,1664.9,1562.5,1584.0,82057
2025-04-28 00:00:00+05:30,1584.2,1612.5,1531.6,1548.0,58689
2025-04-29 00:00:00+05:30,1550.9,1578.6,1495.6,1501.1,49941
2025-04-30 00:00:00+05:30,1519.0,1527.9,1431.0,1444.9,72566
2025-05-02 00:00:00+05:30,1444.9,1478.3,1429.8,1438.3,44782
2025-05-05 00:00:00+05:30,1452.9,1495.0,1432.9,1486.6,38542
2025-05-06 00:00:00+05:30,1486.6,1486.6,1430.0,1438.3,32258
2025-05-07 00:00:00+05:30,1430.0,1484.0,1405.0,1454.9,58429
2025-05-08 00:00:00+05:30,1476.7,1555.2,1452.3,1479.7,85200
2025-05-09 00:00:00+05:30,1416.0,1489.0,1416.0,1475.3,58679
2025-05-12 00:00:00+05:30,1504.8,1590.3,1504.8,1579.1,53035
2025-05-13 00:00:00+05:30,1577.0,1580.7,1540.0,1570.9,40605
2025-05-14 00:00:00+05:30,1585.0,1600.0,1551.4,1566.1,47593
2025-05-15 00:00:00+05:30,1575.0,1617.5,1555.3,1588.3,88140
