date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,1655.4,1690.45,1649.0,1662.9,70893
2025-04-02 00:00:00+05:30,1658.1,1721.95,1640.05,1696.6,46411
2025-04-03 00:00:00+05:30,1696.6,1745.65,1696.2,1720.85,63751
2025-04-04 00:00:00+05:30,1736.0,1736.0,1636.55,1656.65,45652
2025-04-07 00:00:00+05:30,1570.0,1604.95,1550.0,1582.05,62971
2025-04-08 00:00:00+05:30,1605.8,1624.95,1585.0,1596.55,28028
2025-04-09 00:00:00+05:30,1617.0,1674.85,1580.65,1605.5,202911
2025-04-11 00:00:00+05:30,1643.45,1673.95,1622.0,1653.85,87950
2025-04-15 00:00:00+05:30,1700.0,1749.0,1674.5,1733.1,62133
2025-04-16 00:00:00+05:30,1730.0,1769.6,1722.6,1741.2,38239
2025-04-17 00:00:00+05:30,1741.3,1743.1,1708.6,1721.9,46757
2025-04-21 00:00:00+05:30,1749.0,1749.0,1701.0,1712.3,167961
2025-04-22 00:00:00+05:30,1737.8,1739.4,1669.3,1678.7,53564
2025-04-23 00:00:00+05:30,1692.0,1692.0,1641.6,1648.5,62037
2025-04-24 00:00:00+05:30,1664.0,1697.8,1618.9,1650.7,134575
2025-04-25 00:00:00+05:30,1643.0,1649.5,1580.0,1588.0,69980
2025-04-28 00:00:00+05:30,1585.0,1588.7,1543.4,1553.3,87592
2025-04-29 00:00:00+05:30,1576.6,1602.9,1540.3,1557.8,96390
2025-04-30 00:00:00+05:30,1583.0,1583.0,1510.1,1518.6,100275
2025-05-02 00:00:00+05:30,1518.6,1531.2,1478.2,1490.6,114337
2025-05-05 00:00:00+05:30,1505.0,1505.2,1432.7,1437.9,259726
2025-05-06 00:00:00+05:30,1435.0,1437.9,1351.6,1386.7,344463
2025-05-07 00:00:00+05:30,1386.7,1433.0,1375.0,1396.6,230750
2025-05-08 00:00:00+05:30,1409.9,1547.7,1406.6,1523.0,1712119
2025-05-09 00:00:00+05:30,1470.0,1559.6,1345.0,1543.6,310839
2025-05-12 00:00:00+05:30,1552.0,1591.0,1495.6,1511.1,166473
2025-05-13 00:00:00+05:30,1523.2,1538.0,1500.1,1505.7,59506
2025-05-14 00:00:00+05:30,1509.9,1525.1,1491.1,1507.0,169010
2025-05-15 00:00:00+05:30,1513.0,1538.0,1506.6,1525.5,59707
2025-05-16 00:00:00+05:30,1530.0,1534.9,1491.1,1498.9,123720
2025-05-19 00:00:00+05:30,1509.9,1551.6,1496.8,1525.0,96891
2025-05-20 00:00:00+05:30,1540.0,1540.0,1503.2,1512.8,44938
2025-05-21 00:00:00+05:30,1524.0,1538.4,1503.0,1510.0,49800
2025-05-22 00:00:00+05:30,1501.0,1541.5,1496.0,1532.1,64687
2025-05-23 00:00:00+05:30,1528.9,1543.0,1510.0,1535.9,44432
2025-05-26 00:00:00+05:30,1544.0,1557.4,1520.2,1533.2,49532
2025-05-27 00:00:00+05:30,1537.8,1547.0,1526.1,1536.8,60377
2025-05-28 00:00:00+05:30,1565.0,1648.8,1531.7,1635.7,755172
2025-05-29 00:00:00+05:30,1655.3,1688.8,1638.1,1666.9,237986
2025-05-30 00:00:00+05:30,1750.0,1784.9,1691.4,1748.5,1450214
2025-06-02 00:00:00+05:30,1763.1,1834.9,1755.4,1819.4,446110
2025-06-03 00:00:00+05:30,1820.0,1848.6,1801.1,1834.9,152855
2025-06-04 00:00:00+05:30,1834.9,1898.4,1825.0,1876.0,174053
2025-06-05 00:00:00+05:30,1888.3,1923.4,1837.4,1850.7,130582
2025-06-06 00:00:00+05:30,1862.3,1965.5,1846.8,1926.6,163150
2025-06-09 00:00:00+05:30,1936.6,2058.0,1919.5,2013.0,324390
2025-06-10 00:00:00+05:30,2019.0,2124.9,2012.0,2099.7,404994
2025-06-11 00:00:00+05:30,2109.0,2150.4,2086.4,2130.4,229252
2025-06-12 00:00:00+05:30,2130.4,2136.2,2040.0,2063.6,178500
2025-06-13 00:00:00+05:30,2010.3,2123.0,1990.6,2109.7,166986
2025-06-16 00:00:00+05:30,2115.0,2146.0,2085.7,2095.8,141595
2025-06-17 00:00:00+05:30,2110.9,2110.9,2052.2,2071.0,100710
2025-06-18 00:00:00+05:30,2071.0,2083.4,1967.4,2008.9,150445
2025-06-19 00:00:00+05:30,2019.6,2059.5,1955.9,1973.3,97014
2025-06-20 00:00:00+05:30,2038.9,2038.9,1800.0,1837.3,1172717
2025-06-23 00:00:00+05:30,1798.0,1843.6,1773.6,1821.8,238729
2025-06-24 00:00:00+05:30,1831.6,1836.4,1766.4,1780.4,259746
2025-06-25 00:00:00+05:30,1794.9,1852.3,1762.8,1814.9,268335
2025-06-26 00:00:00+05:30,1814.9,1839.8,1791.6,1798.6,131004
2025-06-27 00:00:00+05:30,1814.4,1838.3,1790.0,1823.5,117969
2025-06-30 00:00:00+05:30,1822.0,1858.7,1798.0,1839.6,133138
2025-07-01 00:00:00+05:30,1848.7,1848.9,1787.4,1795.3,55468
2025-07-02 00:00:00+05:30,1811.3,1811.3,1751.0,1757.2,100358
2025-07-03 00:00:00+05:30,1761.0,1773.1,1731.6,1750.2,120159
2025-07-04 00:00:00+05:30,1751.0,1763.8,1735.0,1737.7,66617
2025-07-07 00:00:00+05:30,1750.4,1818.0,1750.0,1760.8,284360
2025-07-08 00:00:00+05:30,1763.0,1814.4,1721.0,1793.0,298425
2025-07-09 00:00:00+05:30,1799.9,1874.7,1777.1,1819.9,410373
2025-07-10 00:00:00+05:30,1819.9,1827.9,1783.1,1808.5,114068
2025-07-11 00:00:00+05:30,1800.6,1822.0,1781.0,1803.3,124823
2025-07-14 00:00:00+05:30,1803.3,1852.4,1796.1,1836.8,183486
2025-07-15 00:00:00+05:30,1853.0,1853.0,1819.9,1835.2,107068
2025-07-16 00:00:00+05:30,1838.5,1868.0,1822.1,1838.6,241649
2025-07-17 00:00:00+05:30,1851.0,1942.9,1835.3,1920.5,624337
2025-07-18 00:00:00+05:30,1925.0,1939.0,1885.1,1893.9,142352
2025-07-21 00:00:00+05:30,1898.0,1948.2,1877.7,1919.7,184371
2025-07-22 00:00:00+05:30,1919.7,1930.4,1875.5,1894.5,65350
2025-07-23 00:00:00+05:30,1889.8,1953.6,1870.1,1943.9,151465
2025-07-24 00:00:00+05:30,1952.7,1980.0,1922.0,1928.4,180397
2025-07-25 00:00:00+05:30,1935.2,1952.1,1865.0,1880.8,101577
2025-07-28 00:00:00+05:30,1887.7,1905.0,1850.0,1865.7,57086
2025-07-29 00:00:00+05:30,1865.7,1874.0,1812.1,1833.4,73960
2025-07-30 00:00:00+05:30,1835.0,1880.8,1815.2,1824.0,35254
2025-07-31 00:00:00+05:30,1814.8,1819.3,1760.1,1767.3,82947
2025-08-01 00:00:00+05:30,1758.6,1790.7,1735.0,1740.7,50248
2025-08-04 00:00:00+05:30,1732.1,1732.9,1686.6,1703.4,109006
2025-08-05 00:00:00+05:30,1694.8,1711.9,1669.3,1701.6,105246
2025-08-06 00:00:00+05:30,1735.0,1735.0,1634.0,1653.3,107831
2025-08-07 00:00:00+05:30,1666.5,1666.5,1616.3,1631.1,78384
2025-08-08 00:00:00+05:30,1634.9,1643.9,1590.0,1598.0,56811
2025-08-11 00:00:00+05:30,1486.1,1611.4,1479.9,1604.1,447644
2025-08-12 00:00:00+05:30,1607.2,1681.2,1583.8,1648.3,305842
2025-08-13 00:00:00+05:30,1645.0,1645.0,1615.1,1633.6,64789
2025-08-14 00:00:00+05:30,1633.6,1658.8,1625.1,1642.5,55589
2025-08-18 00:00:00+05:30,1640.0,1659.4,1620.5,1635.0,55696
2025-08-19 00:00:00+05:30,1635.0,1655.0,1627.7,1646.8,98607
2025-08-20 00:00:00+05:30,1648.6,1701.5,1646.7,1693.4,157951
2025-08-21 00:00:00+05:30,1715.0,1801.9,1708.0,1750.2,358111
2025-08-22 00:00:00+05:30,1750.0,1801.9,1727.9,1767.6,189046
2025-08-25 00:00:00+05:30,1767.6,1767.6,1708.1,1718.6,81604
2025-08-26 00:00:00+05:30,1718.6,1733.9,1688.6,1706.1,64094
2025-08-28 00:00:00+05:30,1700.5,1705.0,1671.7,1695.7,66789
2025-08-29 00:00:00+05:30,1694.0,1717.9,1675.8,1681.7,49952
2025-09-01 00:00:00+05:30,1675.0,1706.9,1669.1,1685.9,70991
2025-09-02 00:00:00+05:30,1714.0,1714.0,1670.1,1688.6,50765
2025-09-03 00:00:00+05:30,1675.0,1710.0,1649.0,1698.9,155966
2025-09-04 00:00:00+05:30,1700.1,1730.0,1658.4,1668.7,60787
2025-09-05 00:00:00+05:30,1662.3,1692.9,1650.3,1657.7,107671
2025-09-08 00:00:00+05:30,1670.0,1678.3,1603.6,1610.8,48893
2025-09-09 00:00:00+05:30,1615.0,1628.0,1573.8,1582.3,127714
2025-09-10 00:00:00+05:30,1605.0,1680.0,1605.0,1670.2,123535
2025-09-11 00:00:00+05:30,1679.9,1679.9,1632.1,1638.8,83177
2025-09-12 00:00:00+05:30,1654.0,1654.0,1625.1,1639.0,133050
2025-09-15 00:00:00+05:30,1642.0,1680.0,1631.4,1660.5,248183
2025-09-16 00:00:00+05:30,1668.0,1671.1,1611.6,1621.2,51292
2025-09-17 00:00:00+05:30,1629.0,1642.6,1607.0,1635.5,89485
2025-09-18 00:00:00+05:30,1628.0,1672.0,1626.0,1657.7,113142
2025-09-19 00:00:00+05:30,1667.8,1704.0,1657.7,1695.1,132296
2025-09-22 00:00:00+05:30,1695.0,1695.0,1617.0,1620.6,127084
2025-09-23 00:00:00+05:30,1620.6,1639.5,1609.7,1624.4,73974
2025-09-24 00:00:00+05:30,1630.0,1639.0,1613.0,1629.6,72033
2025-09-25 00:00:00+05:30,1635.0,1635.0,1583.0,1589.2,64382
2025-09-26 00:00:00+05:30,1568.0,1580.4,1523.9,1565.4,210631
2025-09-29 00:00:00+05:30,1565.4,1620.0,1541.0,1593.9,63784
2025-09-30 00:00:00+05:30,1620.0,1659.9,1586.0,1647.7,148785
2025-10-01 00:00:00+05:30,1647.7,1667.6,1623.3,1634.2,57986
2025-10-03 00:00:00+05:30,1633.0,1635.5,1591.4,1597.1,54957
2025-10-06 00:00:00+05:30,1605.0,1628.0,1578.2,1620.5,96463
2025-10-07 00:00:00+05:30,1629.9,1644.1,1617.9,1626.8,59814
2025-10-08 00:00:00+05:30,1625.1,1647.8,1596.0,1609.2,309042
2025-10-09 00:00:00+05:30,1604.0,1616.4,1580.1,1590.1,87488
2025-10-10 00:00:00+05:30,1588.1,1627.0,1579.2,1603.0,168044
2025-10-13 00:00:00+05:30,1604.0,1621.5,1557.5,1565.2,41935
2025-10-14 00:00:00+05:30,1570.9,1579.2,1511.6,1516.6,75265
2025-10-15 00:00:00+05:30,1515.1,1532.7,1494.1,1507.5,198073
2025-10-16 00:00:00+05:30,1507.5,1533.7,1500.4,1527.2,30125
2025-10-17 00:00:00+05:30,1532.9,1548.7,1507.5,1530.9,54181
2025-10-20 00:00:00+05:30,1530.9,1530.9,1489.0,1496.7,173718
2025-10-21 00:00:00+05:30,1508.8,1534.0,1508.8,1522.4,23606
2025-10-23 00:00:00+05:30,1533.7,1533.7,1505.0,1512.6,67232
2025-10-24 00:00:00+05:30,1512.0,1512.1,1464.0,1474.5,432905
2025-10-27 00:00:00+05:30,1472.2,1478.4,1452.0,1457.7,90302
2025-10-28 00:00:00+05:30,1457.7,1468.3,1425.2,1432.0,90056
2025-10-29 00:00:00+05:30,1435.6,1458.0,1432.6,1452.6,66598
2025-10-30 00:00:00+05:30,1455.2,1463.0,1440.1,1453.9,59865
2025-10-31 00:00:00+05:30,1458.3,1458.3,1437.5,1443.8,41125
2025-11-03 00:00:00+05:30,1443.8,1478.6,1439.1,1469.7,56016
2025-11-04 00:00:00+05:30,1469.7,1474.0,1452.2,1454.9,20379
2025-11-06 00:00:00+05:30,1455.0,1460.3,1407.0,1411.4,48058
2025-11-07 00:00:00+05:30,1411.0,1424.6,1383.0,1394.9,126310
2025-11-10 00:00:00+05:30,1399.0,1450.0,1398.1,1439.2,51714
2025-11-11 00:00:00+05:30,1444.8,1466.1,1407.2,1453.5,113717
2025-11-12 00:00:00+05:30,1456.9,1468.9,1451.1,1463.2,32042
2025-11-13 00:00:00+05:30,1485.1,1494.0,1448.3,1458.8,50129
2025-11-14 00:00:00+05:30,1390.0,1510.1,1389.9,1499.2,182690
2025-11-17 00:00:00+05:30,1513.0,1513.0,1473.1,1502.3,55533
2025-11-18 00:00:00+05:30,1500.0,1510.1,1493.0,1501.3,63607
2025-11-19 00:00:00+05:30,1500.0,1500.0,1444.0,1448.7,346596
2025-11-20 00:00:00+05:30,1429.0,1451.3,1424.7,1440.4,47660
2025-11-21 00:00:00+05:30,1441.8,1452.4,1415.0,1427.7,36418
2025-11-24 00:00:00+05:30,1425.0,1440.4,1407.9,1411.7,33578
2025-11-25 00:00:00+05:30,1429.8,1429.9,1392.0,1402.2,69850
2025-11-26 00:00:00+05:30,1402.7,1447.1,1400.8,1439.8,30142
2025-11-27 00:00:00+05:30,1439.9,1450.4,1420.2,1428.9,26951
2025-11-28 00:00:00+05:30,1439.0,1447.6,1404.0,1417.6,82980
2025-12-01 00:00:00+05:30,1417.6,1444.0,1415.5,1432.9,65962
2025-12-02 00:00:00+05:30,1433.0,1445.1,1420.0,1437.6,23896
2025-12-03 00:00:00+05:30,1431.0,1440.1,1395.1,1405.0,61190
2025-12-04 00:00:00+05:30,1400.2,1424.6,1392.4,1401.6,63061
2025-12-05 00:00:00+05:30,1402.5,1429.8,1392.0,1408.4,51263
2025-12-08 00:00:00+05:30,1408.4,1419.2,1350.2,1362.6,127746
2025-12-09 00:00:00+05:30,1362.6,1409.5,1334.2,1391.4,153622
2025-12-10 00:00:00+05:30,1375.0,1412.0,1359.9,1381.1,78865
2025-12-11 00:00:00+05:30,1380.0,1380.4,1361.5,1370.2,30781
2025-12-12 00:00:00+05:30,1371.0,1384.4,1354.6,1369.8,72706
2025-12-15 00:00:00+05:30,1375.1,1399.2,1355.0,1360.6,322169
2025-12-16 00:00:00+05:30,1360.6,1387.8,1354.4,1379.4,46583
2025-12-17 00:00:00+05:30,1379.4,1380.0,1325.0,1331.2,63699
2025-12-18 00:00:00+05:30,1328.1,1354.5,1314.9,1343.9,52102
2025-12-19 00:00:00+05:30,1348.9,1367.4,1325.6,1336.0,44041
