date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,406.35,410.4,399.95,403.25,337794
2025-04-02 00:00:00+05:30,403.05,411.0,396.1,408.75,453299
2025-04-03 00:00:00+05:30,406.1,422.65,405.65,417.3,814135
2025-04-04 00:00:00+05:30,416.5,418.7,391.3,394.2,537019
2025-04-07 00:00:00+05:30,361.6,378.55,358.45,374.75,557506
2025-04-08 00:00:00+05:30,385.05,391.2,376.35,388.15,380401
2025-04-09 00:00:00+05:30,384.9,385.95,378.2,384.4,222984
2025-04-11 00:00:00+05:30,396.45,396.45,384.45,386.7,288545
2025-04-15 00:00:00+05:30,389.15,402.65,389.15,400.75,514816
2025-04-16 00:00:00+05:30,397.1,409.2,397.1,406.15,448030
2025-04-17 00:00:00+05:30,407.65,426.85,405.85,417.7,2329842
2025-04-21 00:00:00+05:30,417.5,418.35,410.4,416.6,495700
2025-04-22 00:00:00+05:30,417.5,420.0,414.55,415.85,433353
2025-04-23 00:00:00+05:30,417.9,421.4,405.85,413.35,701925
2025-04-24 00:00:00+05:30,412.5,420.3,407.75,414.6,1180928
2025-04-25 00:00:00+05:30,415.05,432.75,410.35,416.5,4089576
2025-04-28 00:00:00+05:30,411.15,418.85,404.05,416.55,793630
2025-04-29 00:00:00+05:30,417.0,426.55,412.55,422.1,755528
2025-04-30 00:00:00+05:30,422.35,441.6,397.2,405.95,3442275
2025-05-02 00:00:00+05:30,403.95,420.35,403.95,413.8,882979
2025-05-05 00:00:00+05:30,415.8,419.45,409.7,416.0,410308
2025-05-06 00:00:00+05:30,416.0,423.6,395.1,397.55,699538
2025-05-07 00:00:00+05:30,397.55,406.4,395.1,399.75,624207
2025-05-08 00:00:00+05:30,404.75,408.2,387.3,391.7,532864
2025-05-09 00:00:00+05:30,385.8,388.75,378.0,383.8,530352
2025-05-12 00:00:00+05:30,403.95,403.95,396.55,402.85,424718
2025-05-13 00:00:00+05:30,399.05,409.5,399.05,404.95,684221
2025-05-14 00:00:00+05:30,408.55,409.4,403.5,406.5,470755
2025-05-15 00:00:00+05:30,408.7,411.55,403.85,409.1,413561
2025-05-16 00:00:00+05:30,407.35,425.75,405.85,424.55,1041257
2025-05-19 00:00:00+05:30,424.3,434.8,415.65,421.7,1345688
2025-05-20 00:00:00+05:30,423.2,434.05,416.55,420.5,1388755
2025-05-21 00:00:00+05:30,420.25,425.95,413.6,424.75,637801
2025-05-22 00:00:00+05:30,424.35,424.35,407.1,409.25,628934
2025-05-23 00:00:00+05:30,406.8,423.8,406.8,415.65,980959
2025-05-26 00:00:00+05:30,419.7,423.65,417.5,419.9,542011
2025-05-27 00:00:00+05:30,420.4,424.1,403.85,405.2,1124570
2025-05-28 00:00:00+05:30,407.5,414.25,399.0,400.95,1403689
2025-05-29 00:00:00+05:30,403.0,405.55,396.1,397.8,608722
2025-05-30 00:00:00+05:30,396.15,404.7,388.3,400.55,1652374
2025-06-02 00:00:00+05:30,398.45,401.3,395.1,397.45,432306
2025-06-03 00:00:00+05:30,399.35,400.35,390.75,392.9,442394
2025-06-04 00:00:00+05:30,394.55,396.95,386.35,388.15,717133
2025-06-05 00:00:00+05:30,387.8,399.65,387.3,388.1,905239
2025-06-06 00:00:00+05:30,389.7,393.55,385.85,389.0,744558
2025-06-09 00:00:00+05:30,391.15,399.85,390.8,396.9,878346
2025-06-10 00:00:00+05:30,399.8,401.4,394.35,398.5,543581
2025-06-11 00:00:00+05:30,400.85,413.25,390.75,393.95,3231660
2025-06-12 00:00:00+05:30,393.75,397.8,382.4,383.45,822487
2025-06-13 00:00:00+05:30,376.6,382.85,373.8,381.0,749968
2025-06-16 00:00:00+05:30,382.9,383.25,370.85,376.55,561205
2025-06-17 00:00:00+05:30,375.65,380.45,368.05,369.2,804452
2025-06-18 00:00:00+05:30,371.25,372.3,360.05,361.45,734399
2025-06-19 00:00:00+05:30,363.4,370.5,358.15,361.0,711755
2025-06-20 00:00:00+05:30,362.0,369.25,358.6,367.05,861673
2025-06-23 00:00:00+05:30,363.0,367.95,363.0,366.35,360294
2025-06-24 00:00:00+05:30,368.8,376.6,368.8,370.8,1890058
2025-06-25 00:00:00+05:30,372.25,393.55,372.25,374.35,3336076
2025-06-26 00:00:00+05:30,376.6,381.0,369.05,371.3,951678
2025-06-27 00:00:00+05:30,374.65,378.05,372.8,376.25,682155
2025-06-30 00:00:00+05:30,378.4,378.4,371.25,374.8,804904
2025-07-01 00:00:00+05:30,375.65,379.2,370.3,371.65,700395
2025-07-02 00:00:00+05:30,372.7,373.6,367.0,369.4,599697
2025-07-03 00:00:00+05:30,370.6,370.7,366.9,367.3,893283
2025-07-04 00:00:00+05:30,367.85,371.5,366.9,369.75,371809
2025-07-07 00:00:00+05:30,370.2,370.55,366.25,368.25,495890
2025-07-08 00:00:00+05:30,368.35,369.75,363.45,364.65,462273
2025-07-09 00:00:00+05:30,363.4,365.6,360.55,362.5,657429
2025-07-10 00:00:00+05:30,364.75,368.25,363.65,366.75,469998
2025-07-11 00:00:00+05:30,365.3,367.4,362.05,365.2,493638
2025-07-14 00:00:00+05:30,365.7,373.05,363.95,372.55,1154248
2025-07-15 00:00:00+05:30,373.1,377.5,371.8,374.95,1214002
2025-07-16 00:00:00+05:30,374.95,387.5,373.85,382.75,1281867
2025-07-17 00:00:00+05:30,383.05,384.35,375.15,376.45,469513
2025-07-18 00:00:00+05:30,376.6,378.9,370.75,372.25,491665
2025-07-21 00:00:00+05:30,370.9,372.65,367.95,370.7,466377
2025-07-22 00:00:00+05:30,372.65,378.15,369.05,373.5,581369
2025-07-23 00:00:00+05:30,372.6,373.85,369.05,370.4,235454
2025-07-24 00:00:00+05:30,370.75,374.5,369.1,370.95,246558
2025-07-25 00:00:00+05:30,370.95,371.7,362.65,363.6,302760
2025-07-28 00:00:00+05:30,365.8,366.85,359.1,360.5,288112
2025-07-29 00:00:00+05:30,363.0,364.45,358.0,361.5,297443
2025-07-30 00:00:00+05:30,363.95,380.35,363.95,371.7,3253435
2025-07-31 00:00:00+05:30,370.75,384.05,366.8,381.6,2141966
2025-08-01 00:00:00+05:30,385.3,385.35,371.75,373.5,491653
2025-08-04 00:00:00+05:30,373.55,374.65,369.3,372.9,268513
2025-08-05 00:00:00+05:30,373.2,383.35,371.95,372.8,1126612
2025-08-06 00:00:00+05:30,373.85,378.75,368.2,370.1,327779
2025-08-07 00:00:00+05:30,370.2,373.4,363.9,367.45,502720
2025-08-08 00:00:00+05:30,381.5,389.25,375.25,382.7,4416331
2025-08-11 00:00:00+05:30,384.4,392.2,378.95,388.8,1051714
2025-08-12 00:00:00+05:30,390.2,390.3,382.1,383.55,585291
2025-08-13 00:00:00+05:30,387.3,387.3,379.7,383.3,610523
2025-08-14 00:00:00+05:30,384.45,385.4,374.65,375.9,621004
