date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,137.95,144.0,137.95,139.99,326491
2025-04-02 00:00:00+05:30,142.1,143.19,137.72,139.77,599024
2025-04-03 00:00:00+05:30,137.1,141.0,137.0,139.94,249463
2025-04-04 00:00:00+05:30,141.0,142.08,130.67,132.61,659540
2025-04-07 00:00:00+05:30,121.99,128.95,120.52,124.61,521353
2025-04-08 00:00:00+05:30,127.05,129.95,123.2,126.32,568550
2025-04-09 00:00:00+05:30,124.21,128.0,122.67,123.56,238979
2025-04-11 00:00:00+05:30,127.9,133.62,125.63,131.3,646807
2025-04-15 00:00:00+05:30,135.0,135.97,132.75,134.77,244615
2025-04-16 00:00:00+05:30,134.77,136.76,131.5,132.67,419394
2025-04-17 00:00:00+05:30,132.6,135.0,131.99,133.16,265304
2025-04-21 00:00:00+05:30,134.95,134.95,131.43,133.43,380299
2025-04-22 00:00:00+05:30,136.8,137.29,132.88,133.22,437976
2025-04-23 00:00:00+05:30,135.2,135.2,128.5,129.91,387082
2025-04-24 00:00:00+05:30,129.91,132.35,128.52,129.29,621322
2025-04-25 00:00:00+05:30,130.2,130.2,118.36,120.79,1130870
2025-04-28 00:00:00+05:30,121.4,125.54,119.87,123.01,1906903
2025-04-29 00:00:00+05:30,123.0,124.01,119.53,120.21,448057
2025-04-30 00:00:00+05:30,120.21,121.54,114.45,119.2,720791
2025-05-02 00:00:00+05:30,118.66,121.7,115.04,119.21,589092
2025-05-05 00:00:00+05:30,119.19,119.19,116.32,117.9,270735
2025-05-06 00:00:00+05:30,117.71,117.97,109.8,113.19,1164164
2025-05-07 00:00:00+05:30,111.5,112.8,110.0,111.77,424474
2025-05-08 00:00:00+05:30,113.45,118.28,112.98,116.42,2437126
2025-05-09 00:00:00+05:30,114.25,115.72,111.16,114.34,381307
2025-05-12 00:00:00+05:30,120.0,120.0,113.05,113.69,948390
2025-05-13 00:00:00+05:30,111.6,114.0,110.0,110.89,719087
2025-05-14 00:00:00+05:30,111.95,113.44,109.58,110.34,1291319
2025-05-15 00:00:00+05:30,111.95,113.69,110.23,112.77,953341
2025-05-16 00:00:00+05:30,113.5,114.0,110.3,110.86,805104
2025-05-19 00:00:00+05:30,112.0,112.5,106.5,107.3,2536342
2025-05-20 00:00:00+05:30,108.0,108.74,103.72,105.48,2031883
2025-05-21 00:00:00+05:30,108.0,108.43,104.74,105.86,559137
2025-05-22 00:00:00+05:30,106.0,114.0,105.69,110.34,1351425
2025-05-23 00:00:00+05:30,110.8,113.0,109.0,109.23,637195
2025-05-26 00:00:00+05:30,109.95,110.56,106.74,106.92,613973
2025-05-27 00:00:00+05:30,107.0,109.44,105.61,106.87,497301
2025-05-28 00:00:00+05:30,106.95,107.9,104.7,105.19,653598
2025-05-29 00:00:00+05:30,105.59,107.48,105.59,107.16,399372
2025-05-30 00:00:00+05:30,107.16,107.68,104.41,105.34,519599
2025-06-02 00:00:00+05:30,105.05,105.9,103.72,104.32,687925
2025-06-03 00:00:00+05:30,104.03,105.53,103.11,103.93,773177
2025-06-04 00:00:00+05:30,103.45,106.25,102.0,105.04,1102142
2025-06-05 00:00:00+05:30,105.05,108.69,104.57,105.93,663757
2025-06-06 00:00:00+05:30,105.5,110.91,104.1,104.58,1448738
2025-06-09 00:00:00+05:30,104.05,107.63,103.8,105.54,1701807
2025-06-10 00:00:00+05:30,105.5,106.88,103.9,104.26,1292106
2025-06-11 00:00:00+05:30,104.29,109.0,104.29,105.98,1002127
2025-06-12 00:00:00+05:30,105.5,106.71,103.01,103.9,630858
2025-06-13 00:00:00+05:30,102.7,103.24,100.86,101.42,604561
2025-06-16 00:00:00+05:30,101.02,110.7,99.06,106.54,6350112
2025-06-17 00:00:00+05:30,107.0,107.0,104.05,104.74,1299154
2025-06-18 00:00:00+05:30,104.21,105.43,102.3,102.67,925783
2025-06-19 00:00:00+05:30,102.15,107.0,102.1,105.09,3826808
2025-06-20 00:00:00+05:30,104.75,106.6,99.33,100.29,5227832
2025-06-23 00:00:00+05:30,99.78,103.0,99.69,102.68,998184
2025-06-24 00:00:00+05:30,102.21,103.55,101.0,101.14,788992
2025-06-25 00:00:00+05:30,101.5,121.36,101.47,117.17,12913685
2025-06-26 00:00:00+05:30,117.5,133.74,116.68,131.37,29227837
2025-06-27 00:00:00+05:30,138.25,139.0,131.37,134.58,14605352
2025-06-30 00:00:00+05:30,133.0,134.49,129.05,130.25,3326858
2025-07-01 00:00:00+05:30,130.5,131.15,125.11,126.38,1676769
2025-07-02 00:00:00+05:30,126.0,127.18,120.25,121.71,1864081
2025-07-03 00:00:00+05:30,122.55,130.6,120.8,128.7,4911651
2025-07-04 00:00:00+05:30,129.7,129.7,125.1,126.63,1577451
2025-07-07 00:00:00+05:30,126.0,130.98,123.65,127.04,3079189
2025-07-08 00:00:00+05:30,127.25,128.0,123.36,124.44,631637
2025-07-09 00:00:00+05:30,124.85,126.19,121.31,121.88,840882
2025-07-10 00:00:00+05:30,122.55,123.47,120.5,121.84,937304
2025-07-11 00:00:00+05:30,122.29,124.66,120.26,121.27,1168154
2025-07-14 00:00:00+05:30,121.2,123.97,120.11,121.94,691603
2025-07-15 00:00:00+05:30,123.15,124.85,121.06,121.77,805795
2025-07-16 00:00:00+05:30,122.15,123.0,120.77,121.44,664344
2025-07-17 00:00:00+05:30,122.52,122.69,120.0,120.94,375911
2025-07-18 00:00:00+05:30,120.94,122.5,118.05,120.29,1200567
2025-07-21 00:00:00+05:30,122.35,127.7,120.01,122.45,2843628
2025-07-22 00:00:00+05:30,122.5,122.91,118.75,120.03,1341212
2025-07-23 00:00:00+05:30,120.04,121.22,117.25,118.25,759057
2025-07-24 00:00:00+05:30,118.55,121.64,117.55,120.19,923006
2025-07-25 00:00:00+05:30,120.15,120.16,113.3,114.98,646335
2025-07-28 00:00:00+05:30,114.51,114.91,109.41,112.07,1156070
2025-07-29 00:00:00+05:30,112.07,115.0,109.62,114.14,539373
2025-07-30 00:00:00+05:30,117.0,117.0,113.0,114.67,370499
2025-07-31 00:00:00+05:30,113.81,113.95,111.36,112.32,258914
2025-08-01 00:00:00+05:30,114.96,114.96,109.66,110.7,333632
2025-08-04 00:00:00+05:30,110.5,112.0,108.56,111.22,336171
2025-08-05 00:00:00+05:30,111.22,111.92,108.48,108.95,272906
2025-08-06 00:00:00+05:30,109.1,110.19,106.45,107.73,340066
2025-08-07 00:00:00+05:30,106.66,114.28,104.98,111.52,1068828
2025-08-08 00:00:00+05:30,112.25,116.95,107.55,108.73,570915
2025-08-11 00:00:00+05:30,106.84,107.58,103.59,105.11,876340
2025-08-12 00:00:00+05:30,105.0,106.66,103.39,104.16,411397
2025-08-13 00:00:00+05:30,104.4,105.44,103.28,103.67,234146
2025-08-14 00:00:00+05:30,109.49,109.49,100.26,101.39,954404
2025-08-18 00:00:00+05:30,102.1,104.5,101.32,101.74,941103
2025-08-19 00:00:00+05:30,100.5,109.72,100.5,103.94,2003745
2025-08-20 00:00:00+05:30,104.36,105.99,102.55,104.6,631724
2025-08-21 00:00:00+05:30,104.71,106.0,104.2,105.19,467736
2025-08-22 00:00:00+05:30,105.1,105.1,101.9,102.53,766213
2025-08-25 00:00:00+05:30,102.8,104.0,100.77,102.55,608341
2025-08-26 00:00:00+05:30,102.5,102.74,100.5,101.03,603231
2025-08-28 00:00:00+05:30,102.0,102.0,100.0,100.28,440753
2025-08-29 00:00:00+05:30,100.55,104.0,99.75,103.26,991955
2025-09-01 00:00:00+05:30,103.2,103.99,101.02,102.2,519699
2025-09-02 00:00:00+05:30,102.4,104.0,101.7,101.95,839203
2025-09-03 00:00:00+05:30,102.0,105.0,102.0,103.68,1145200
2025-09-04 00:00:00+05:30,104.7,105.0,100.75,101.12,587663
